respondent_id,persona_label,Q1_age_group,Q2_gender,Q3_state,Q4_city_tier,Q5_education,Q6_occupation,Q_hh_size,Q_hh_type,Q_children_under15,Q_waste_segregation,Q_purchase_decision_maker,Q7_income_band,Q7_income_midpoint_INR,Q8_monthly_spend_band,Q8_spend_midpoint_INR,Q9_willingness_to_pay_premium,Q10_eco_awareness_1to5,Q11_reduce_plastic_freq,Q12_prior_eco_purchase,Q13_products_interested,Q14_clothing_types,Q15_cookware_types,Q16_colour_preference,Q17_purchase_occasions,Q18_primary_channel,Q19_top3_purchase_factors,Q20_shopping_frequency,Q21_bundle_deal_appeal_1to5,Q22_social_media_channels,Q23_eco_label_influence_1to5,Q24_purchase_barrier,Q25_purchase_likelihood,Q25_purchase_binary
R0015,Price-Sensitive Middle India,36-50,Female,Madhya Pradesh,Tier-2 city,12th / Diploma,Back-to-school,4,Nuclear,1.0,Yes,Elders / Family head,Above 100000,130000,2001-5000,3500,Same price,3,Sometimes,Yes regularly,rPET Bottles/Containers | Storage Organisers,Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Stainless steel | Aluminium,White/Off-white | Bright/Vibrant | Earthy tones,Festivals | Wedding/family function | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Quality/Durability | Eco-friendly credentials,Rarely / Only when needed,5,Facebook | WhatsApp groups | Don't use social for discovery,4,Never thought about it,Very unlikely,0
R0016,Price-Sensitive Middle India,36-50,Female,Tamil Nadu,Rural / Village,Up to 10th,Back-to-school,4,Joint family,0.0,Yes,Both equally,30001-60000,45000,500-2000,1250,Up to 25% more,2,Sometimes,Yes once or twice,None of the above,Salwar suits/Kurtis | Formal office wear,Non-stick (Teflon) | Stainless steel,White/Off-white | Pastels,Festivals | New home/shifting | Wedding/family function,Online Amazon/Flipkart,Quality/Durability | Price/Affordability | Social media/Influencer,Once every 3 months,3,Instagram | YouTube | Facebook | Meesho/ShareChat,4,Not easily available,Unlikely,0
R0017,Price-Sensitive Middle India,26-35,Male,West Bengal,Tier-2 city,12th / Diploma,Wedding/family function,3,Nuclear,2.0,Yes,Both equally,15000-30000,22500,Below 500,300,Up to 25% more,3,Rarely,No but interested,Storage Organisers | Agri Crates/Tools,Cotton sarees | Salwar suits/Kurtis | Western wear,Ceramic-coated | Aluminium,White/Off-white,Festivals | New home/shifting | Back-to-school | Sale events,Modern retail (D-Mart etc.),Quality/Durability | Price/Affordability | Design/Aesthetics,Once every 3 months,3,YouTube | Facebook | WhatsApp groups | Don't use social for discovery,3,Higher price,Very unlikely,0
R0018,Rural / Agri Household,36-50,Male,Maharashtra,Rural / Village,Undergraduate,Festivals,3,Joint family,1.0,No,Self,15000-30000,22500,500-2000,1250,Same price,3,Never,No and not interested,None of the above,Cotton sarees | Formal office wear,Iron/Cast iron | Stainless steel | Aluminium | Clay/Terracotta,Bright/Vibrant,Festivals | Wedding/family function | When product breaks/runs out,Online Amazon/Flipkart,Friends/Family recommendation | Brand trust | Quality/Durability,Once a month,3,YouTube | WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,1,Doubt about quality,Very unlikely,0
R0019,Rural / Agri Household,36-50,Female,Kerala,Rural / Village,Up to 10th,Sale events,4,Joint family,2.0,No,Both equally,15000-30000,22500,2001-5000,3500,Up to 10% more,5,Often,No and not interested,None of the above,Cotton sarees | Salwar suits/Kurtis | Western wear,Aluminium,Earthy tones,Festivals | New home/shifting | When product breaks/runs out,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Brand trust,Weekly,2,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,3,Higher price,Very unlikely,0
R0020,Price-Sensitive Middle India,36-50,Female,Gujarat,Tier-2 city,Undergraduate,Wedding/family function,5,Joint family,1.0,No,Both equally,15000-30000,22500,500-2000,1250,Only if cheaper,4,Rarely,Yes once or twice,Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon),White/Off-white,Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Price/Affordability | Friends/Family recommendation | Eco-friendly credentials,Once a month,2,Instagram | Facebook,2,Higher price,Very unlikely,0
R0021,Student Young Urban,18-25,Male,West Bengal,Metro,Postgraduate or above,Festivals,3,Nuclear,0.0,Yes,Self,Below 15000,10000,2001-5000,3500,Up to 25% more,4,Rarely,No but interested,rPET Bottles/Containers | Stationery/School Supplies,Cotton sarees | Western wear | Formal office wear,,White/Off-white,Festivals | New home/shifting | Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Quality/Durability | Eco-friendly credentials | Design/Aesthetics,Once a month,3,Instagram | YouTube,3,Distrust eco-claims (greenwashing),Neutral,0
R0022,Urban Eco Millennial,26-35,Female,Kerala,Tier-2 city,Postgraduate or above,New home/shifting,1,Joint family,0.0,Yes,Self,30001-60000,45000,500-2000,1250,More than 25% premium,4,Often,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Western wear,Iron/Cast iron | Non-stick (Teflon) | Ceramic-coated,Earthy tones | White/Off-white | Dark/Neutral,Festivals | Sale events,Online Amazon/Flipkart,Eco-friendly credentials | Quality/Durability | Design/Aesthetics,Weekly,5,YouTube,5,Distrust eco-claims (greenwashing),Likely,1
R0023,Price-Sensitive Middle India,26-35,Female,Haryana,Rural / Village,Undergraduate,Back-to-school,3,Joint family,3.0,Sometimes,Elders / Family head,30001-60000,45000,2001-5000,3500,Only if cheaper,3,Sometimes,No but interested,rPET Bottles/Containers | Storage Organisers,Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Clay/Terracotta,Earthy tones | Bright/Vibrant | Pastels,Sale events,Local market / Kirana,Price/Affordability | Quality/Durability | Design/Aesthetics,Rarely / Only when needed,4,WhatsApp groups,2,Not easily available,Very unlikely,0
R0024,Price-Sensitive Middle India,Above 50,Male,Punjab,Tier-3 town,Postgraduate or above,Wedding/family function,4,Nuclear,1.0,No,Elders / Family head,60001-100000,80000,5001-10000,7500,Up to 25% more,2,Sometimes,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees,Iron/Cast iron | Stainless steel | Aluminium | Clay/Terracotta,Bright/Vibrant,Festivals | New home/shifting | Back-to-school | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Quality/Durability | Brand trust | Design/Aesthetics,Once every 3 months,5,Instagram | YouTube | Facebook | Meesho/ShareChat,3,Not easily available,Very unlikely,0
R0025,Rural / Agri Household,36-50,Female,Odisha,Rural / Village,12th / Diploma,Sale events,5,Joint family,3.0,No,Partner / Spouse,15000-30000,22500,500-2000,1250,Same price,3,Often,No but interested,Storage Organisers | Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Aluminium,Earthy tones | Bright/Vibrant | Pastels,New home/shifting | When product breaks/runs out,Local market / Kirana,Brand trust | Friends/Family recommendation | Quality/Durability,Rarely / Only when needed,3,Instagram | Facebook | WhatsApp groups | Meesho/ShareChat,4,Higher price,Very unlikely,0
R0026,Traditional Joint Family,36-50,Female,Uttar Pradesh,Tier-3 town,Postgraduate or above,New home/shifting,3,Joint family,1.0,Yes,Elders / Family head,30001-60000,45000,2001-5000,3500,Only if cheaper,3,Sometimes,No but interested,Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Ceramic-coated | Clay/Terracotta,White/Off-white,Festivals | New home/shifting | Wedding/family function | Back-to-school | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Friends/Family recommendation | Quality/Durability | Design/Aesthetics,Once a month,4,Instagram | YouTube | WhatsApp groups,3,Doubt about quality,Very unlikely,0
R0027,Price-Sensitive Middle India,Above 50,Female,Haryana,Tier-2 city,Undergraduate,Back-to-school,3,Joint family,3.0,Yes,Elders / Family head,15000-30000,22500,500-2000,1250,More than 25% premium,1,Often,No but interested,Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Formal office wear,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium,Earthy tones | Bright/Vibrant | Pastels,Festivals,Online Amazon/Flipkart,Quality/Durability | Friends/Family recommendation | Design/Aesthetics,2-3 times a month,1,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,3,Distrust eco-claims (greenwashing),Very unlikely,0
R0028,Rural / Agri Household,36-50,Male,Rajasthan,Tier-3 town,12th / Diploma,Sale events,3,Nuclear,2.0,Yes,Both equally,15000-30000,22500,500-2000,1250,Up to 25% more,4,Sometimes,No and not interested,Storage Organisers | Agri Crates/Tools,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Aluminium,,Wedding/family function | When product breaks/runs out,Local market / Kirana,Price/Affordability | Brand trust | Friends/Family recommendation,2-3 times a month,4,YouTube | Facebook | WhatsApp groups,2,Doubt about quality,Unlikely,0
R0029,Student Young Urban,18-25,Female,Jharkhand,Metro,Undergraduate,New home/shifting,3,Nuclear,0.0,Sometimes,Elders / Family head,Below 15000,10000,5001-10000,7500,Up to 25% more,4,Never,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Stainless steel,White/Off-white | Earthy tones | Bright/Vibrant,Festivals | Back-to-school | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Brand trust | Price/Affordability | Social media/Influencer,Once every 3 months,2,YouTube,4,Higher price,Unlikely,0
R0030,Urban Eco Millennial,26-35,Male,Andhra Pradesh,Tier-2 city,Undergraduate,Back-to-school,3,Joint family,0.0,Yes,Elders / Family head,30001-60000,45000,Above 10000,12000,Up to 25% more,4,Often,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools,Salwar suits/Kurtis,Non-stick (Teflon) | Ceramic-coated | Clay/Terracotta,Dark/Neutral | Earthy tones | White/Off-white,New home/shifting | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Price/Affordability | Friends/Family recommendation | Social media/Influencer,Once a month,5,Instagram | YouTube | Facebook,4,No barrier - would buy,Likely,1
R0031,Student Young Urban,26-35,Male,Uttar Pradesh,Metro,Undergraduate,Festivals,1,Nuclear,0.0,Yes,Self,Below 15000,10000,500-2000,1250,Up to 10% more,5,Often,Yes once or twice,Stationery/School Supplies,Cotton sarees | Western wear | Formal office wear,Stainless steel,,Festivals | Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Eco-friendly credentials | Quality/Durability | Price/Affordability,2-3 times a month,3,Instagram | YouTube | WhatsApp groups,3,Doubt about quality,Unlikely,0
R0032,Urban Eco Millennial,26-35,Female,Gujarat,Tier-2 city,Undergraduate,New home/shifting,3,Nuclear,1.0,Yes,Self,Above 100000,130000,500-2000,1250,More than 25% premium,5,Always / It's a habit,Yes once or twice,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Formal office wear,Clay/Terracotta,Pastels,New home/shifting | Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Eco-friendly credentials | Quality/Durability | Price/Affordability,Once every 3 months,4,Instagram | YouTube | WhatsApp groups,4,Doubt about quality,Very likely,1
R0033,Urban Eco Millennial,18-25,Female,Jharkhand,Metro,Postgraduate or above,New home/shifting,3,Joint family,0.0,Yes,Self,30001-60000,45000,2001-5000,3500,Same price,5,Often,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Ceramic-coated | Aluminium,Pastels | Dark/Neutral,Back-to-school | Sale events | When product breaks/runs out,Quick commerce (Blinkit/Zepto),Quality/Durability | Eco-friendly credentials | Design/Aesthetics,Once a month,4,Instagram,5,No barrier - would buy,Very likely,1
R0034,High-Income Premium Buyer,26-35,Male,Tamil Nadu,Tier-2 city,Postgraduate or above,Back-to-school,3,Nuclear,1.0,Yes,Both equally,60001-100000,80000,2001-5000,3500,Up to 10% more,4,Rarely,Yes regularly,Outdoor Garden Furniture | Storage Organisers,Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Stainless steel | Aluminium,Pastels | White/Off-white | Dark/Neutral,New home/shifting | Wedding/family function | Sale events,D2C brand website,Design/Aesthetics | Price/Affordability | Brand trust,2-3 times a month,2,Instagram | WhatsApp groups,2,Distrust eco-claims (greenwashing),Unlikely,0
R0035,High-Income Premium Buyer,36-50,Male,Bihar,Metro,Postgraduate or above,Back-to-school,3,Joint family,1.0,Yes,Partner / Spouse,60001-100000,80000,5001-10000,7500,Up to 25% more,4,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Clay/Terracotta,Dark/Neutral | Pastels,Festivals | Wedding/family function | Sale events,Quick commerce (Blinkit/Zepto),Design/Aesthetics | Brand trust | Quality/Durability,Once a month,4,Instagram | WhatsApp groups,3,No barrier - would buy,Very likely,1
R0036,Traditional Joint Family,Above 50,Female,Bihar,Rural / Village,Undergraduate,New home/shifting,4,Joint family,1.0,No,Partner / Spouse,15000-30000,22500,500-2000,1250,Up to 10% more,1,Often,No but interested,Storage Organisers,Synthetic/polyester sarees | Western wear,Non-stick (Teflon) | Ceramic-coated | Aluminium,Earthy tones,Festivals | Wedding/family function | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Brand trust | Quality/Durability | Friends/Family recommendation,Once every 3 months,3,Facebook | WhatsApp groups,4,Not easily available,Very unlikely,0
R0037,Price-Sensitive Middle India,36-50,Female,West Bengal,Rural / Village,Undergraduate,Back-to-school,3,Joint family,2.0,No,Self,30001-60000,45000,2001-5000,3500,Up to 10% more,3,Sometimes,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Stainless steel | Ceramic-coated,White/Off-white,Festivals | Back-to-school,Local market / Kirana,Friends/Family recommendation | Brand trust | Social media/Influencer,2-3 times a month,2,YouTube | Facebook | WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,4,Higher price,Unlikely,0
R0038,Urban Eco Millennial,26-35,Male,Bihar,Metro,Undergraduate,When product breaks/runs out,3,Joint family,0.0,Yes,Self,30001-60000,45000,2001-5000,3500,More than 25% premium,5,Often,Yes regularly,Outdoor Garden Furniture | Storage Organisers,Western wear | Formal office wear,Stainless steel,Pastels | Dark/Neutral | Earthy tones,New home/shifting | Sale events,D2C brand website,Eco-friendly credentials | Design/Aesthetics | Social media/Influencer,2-3 times a month,5,Instagram | YouTube | WhatsApp groups,5,No barrier - would buy,Very likely,1
R0039,Student Young Urban,18-25,Female,Tamil Nadu,Tier-2 city,Undergraduate,New home/shifting,1,Nuclear,0.0,Yes,Self,30001-60000,45000,500-2000,1250,Up to 25% more,4,Often,Yes once or twice,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel | Aluminium,Pastels | Bright/Vibrant,Back-to-school,Quick commerce (Blinkit/Zepto),Social media/Influencer | Friends/Family recommendation | Design/Aesthetics,Once every 3 months,4,Instagram | YouTube | Facebook | WhatsApp groups,3,Higher price,Unlikely,0
R0040,Rural / Agri Household,Below 18,Female,Gujarat,Rural / Village,Postgraduate or above,New home/shifting,3,Joint family,2.0,Sometimes,Elders / Family head,15000-30000,22500,5001-10000,7500,More than 25% premium,3,Rarely,No and not interested,rPET Bottles/Containers | Outdoor Garden Furniture | Agri Crates/Tools,Cotton sarees | Salwar suits/Kurtis,Stainless steel,Bright/Vibrant | White/Off-white,Festivals | New home/shifting | When product breaks/runs out,Local market / Kirana,Price/Affordability | Quality/Durability | Friends/Family recommendation,Once every 3 months,3,YouTube | Don't use social for discovery,5,Higher price,Unlikely,0
R0041,Urban Eco Millennial,26-35,Male,Rajasthan,Metro,Undergraduate,New home/shifting,4,Joint family,0.0,Yes,Elders / Family head,Above 100000,130000,500-2000,1250,Up to 25% more,5,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Synthetic/polyester sarees | Western wear,Ceramic-coated | Clay/Terracotta,Earthy tones | Dark/Neutral,Festivals | Sale events | When product breaks/runs out,Quick commerce (Blinkit/Zepto),Design/Aesthetics | Price/Affordability | Quality/Durability,Once a month,3,Instagram,5,Doubt about quality,Very likely,1
R0042,Rural / Agri Household,18-25,Female,Gujarat,Rural / Village,12th / Diploma,Back-to-school,5,Joint family,3.0,No,Self,Below 15000,10000,500-2000,1250,Up to 25% more,2,Rarely,No but interested,Agri Crates/Tools,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron,Earthy tones,Festivals | Wedding/family function | When product breaks/runs out,Local market / Kirana,Quality/Durability | Brand trust | Eco-friendly credentials,Once every 3 months,2,Facebook | WhatsApp groups,3,Higher price,Unlikely,0
R0043,Urban Eco Millennial,36-50,Male,Uttar Pradesh,Rural / Village,Undergraduate,New home/shifting,2,Nuclear,0.0,Yes,Self,60001-100000,80000,5001-10000,7500,Up to 25% more,5,Always / It's a habit,Yes regularly,Outdoor Garden Furniture,Formal office wear,Non-stick (Teflon) | Stainless steel | Ceramic-coated,Earthy tones,Festivals | New home/shifting | Back-to-school | Sale events | When product breaks/runs out,D2C brand website,Brand trust | Design/Aesthetics | Price/Affordability,Once every 3 months,4,Instagram | Facebook,5,Doubt about quality,Likely,1
